,CUIs,concepts,tw_phrases
26168,C0015408,Eye Injuries,Eye Injuries
26169,C0014130,Endocrine System Diseases,Endocrine System Diseases
26170,C0151885,Reaction aggravation,Reaction aggravation
26171,C0015403,Eye Infections,Eye Infections
26172,C0015402,Eye Hemorrhage,Eye Hemorrhage
26173,C0042571,Vertigo,Vertigo
26174,C0234894,Dermatitis acneiform,Dermatitis acneiform
26175,C0040264,Tinnitus,Tinnitus
26176,C0236000,Jaw pain,Jaw pain
26177,C0237849,Peeling of skin,Peeling of skin
26178,C0349208,Manic episode,Manic episode
26179,C0019079,Hemoptysis,Hemoptysis
26180,C0014553,Absence Epilepsy,Absence Epilepsy
26181,C0014550,"Epilepsies, Myoclonic","Epilepsies, Myoclonic"
26182,C0520886,ST segment elevation (finding),ST segment elevation (finding)
26183,C0520888,Inverted T wave,Inverted T wave
26184,C0025345,Menstruation Disturbances,Menstruation Disturbances
26185,C0018099,Gout,Gout
26186,C1861172,Venous Thromboembolism,Venous Thromboembolism
26187,C0022346,Icterus,Icterus
26188,C1260899,"Anemia, Diamond-Blackfan","Anemia, Diamond-Blackfan"
26189,C0003537,Aphasia,Aphasia
26190,C0860700,Prothrombin level abnormal,Prothrombin level abnormal
26191,C0687713,Gastrointestinal pain,Gastrointestinal pain
26192,C0152936,"Plague, Septicemic","Plague, Septicemic"
26193,C0428886,Mean blood pressure,Mean blood pressure
26194,C0853692,Blood triglycerides increased,Blood triglycerides increased
26195,C0853697,Neutrophil count decreased,Neutrophil count decreased
26196,C0239340,Edema of lower extremities,Edema of lower extremities
26197,C0152169,Renal Colic,Renal Colic
26198,C0232498,Abdominal tenderness,Abdominal tenderness
26199,C0232495,Abdominal pain lower,Abdominal pain lower
26200,C0262988,Cutaneous vasculitis,Cutaneous vasculitis
26201,C0232492,Abdominal pain upper,Abdominal pain upper
26202,C0151571,Corneal lesion,Corneal lesion
26203,C0039231,Tachycardia,Tachycardia
26204,C0151574,Cough decreased,Cough decreased
26205,C0151576,Creatine phosphokinase increased,Creatine phosphokinase increased
26206,C0151577,Creatinine renal clearance decreased,Creatinine renal clearance decreased
26207,C0151578,Creatinine increased,Creatinine increased
26208,C0151579,Crystalluria,Crystalluria
26209,C0039239,Sinus Tachycardia,Sinus Tachycardia
26210,C0231441,Immobile,Immobile
26211,C0346156,Benign neoplasm of breast,Benign neoplasm of breast
26212,C0032584,Polyps,Polyps
26213,C0521591,Paraesthesia oral,Paraesthesia oral
26214,C0521592,Hypoaesthesia oral,Hypoaesthesia oral
26215,C0040046,Thrombophlebitis,Thrombophlebitis
26216,C0231274,Intolerant of heat,Intolerant of heat
26217,C0001627,Congenital adrenal hyperplasia,Congenital adrenal hyperplasia
26218,C1384494,Metastatic Carcinoma,Metastatic Carcinoma
26219,C0151970,Ulcer of esophagus,Ulcer of esophagus
26220,C0001623,Adrenal gland hypofunction,Adrenal gland hypofunction
26221,C0547030,Visual disturbance,Visual disturbance
26222,C0338831,Manic,Manic
26223,C0151714,Hypermagnesemia,Hypermagnesemia
26224,C0151717,Skin hypertrophy,Skin hypertrophy
26225,C0031154,Peritonitis,Peritonitis
26226,C0035457,"Rhinitis, Allergic, Perennial","Rhinitis, Allergic, Perennial"
26227,C0035455,Rhinitis,Rhinitis
26228,C0151718,Hypocholesterolemia,Hypocholesterolemia
26229,C0151480,Antinuclear antibody positive,Antinuclear antibody positive
26230,C0302295,Eruptions,Eruptions
26231,C0235378,Hepatotoxicity,Hepatotoxicity
26232,C0271650,Impaired glucose tolerance,Impaired glucose tolerance
26233,C0029877,Ear Inflammation,Ear Inflammation
26234,C0231303,Distress,Distress
26235,C0035078,Kidney Failure,Kidney Failure
26236,C1527358,Phototoxicity,Phototoxicity
26237,C0029878,Otitis Externa,Otitis Externa
26238,C0002886,"Anemia, Macrocytic","Anemia, Macrocytic"
26239,C0542203,Water retention (finding),Water retention (finding)
26240,C0333355,Mucositis,Mucositis
26241,C0409497,Joint injury,Joint injury
26242,C0235013,Hypervigilance,Hypervigilance
26243,C0151622,Endometrial disorder,Endometrial disorder
26244,C0151625,Enzyme abnormality,Enzyme abnormality
26245,C0151626,Necrolysis epidermal,Necrolysis epidermal
26246,C0085702,Monocytosis,Monocytosis
26247,C0085096,Peripheral Vascular Diseases,Peripheral Vascular Diseases
26248,C0012691,Dislocations,Dislocations
26249,C0242350,Erectile dysfunction,Erectile dysfunction
26250,C0026884,Mutism,Mutism
26251,C0009376,Colonic Polyps,Colonic Polyps
26252,C1458140,Bleeding tendency,Bleeding tendency
26253,C0031572,"Phobia, Social","Phobia, Social"
26254,C0085679,Hyperchloraemia,Hyperchloraemia
26255,C0035854,Rosacea,Rosacea
26256,C0158350,Tendinous contracture,Tendinous contracture
26257,C1262006,Sinusitis bacterial,Sinusitis bacterial
26258,C0221170,Muscular stiffness,Muscular stiffness
26259,C0025162,"Megacolon, Toxic","Megacolon, Toxic"
26260,C0858970,Carcinogenicity,Carcinogenicity
26261,C0740394,Hyperuricemia,Hyperuricemia
26262,C0011882,Diabetic Neuropathies,Diabetic Neuropathies
26263,C0011881,Diabetic Nephropathy,Diabetic Nephropathy
26264,C0011880,Diabetic Ketoacidosis,Diabetic Ketoacidosis
26265,C1112369,Paranasal sinus hypersecretion,Paranasal sinus hypersecretion
26266,C0034186,Pyelonephritis,Pyelonephritis
26267,C0751495,"Seizures, Focal","Seizures, Focal"
26268,C0751494,Convulsive Seizures,Convulsive Seizures
26269,C0027822,Neurodermatitis,Neurodermatitis
26270,C0020507,Hyperplasia,Hyperplasia
26271,C0030353,Papilledema,Papilledema
26272,C0026896,Myasthenia Gravis,Myasthenia Gravis
26273,C0497364,Localized rash,Localized rash
26274,C0497365,Rash generalised,Rash generalised
26275,C0231246,Failure to gain weight,Failure to gain weight
26276,C0340279,Ventricular hypertrophy,Ventricular hypertrophy
26277,C0542571,Facial edema,Facial edema
26278,C0030193,Pain,Pain
26279,C0233794,Memory impairment,Memory impairment
26280,C0030196,Pain in limb,Pain in limb
26281,C0025874,Metrorrhagia,Metrorrhagia
26282,C0580531,White blood cell count abnormal,White blood cell count abnormal
26283,C0041327,"Tuberculosis, Pulmonary","Tuberculosis, Pulmonary"
26284,C1504494,Tingling of extremity,Tingling of extremity
26285,C0221776,Oral pain,Oral pain
26286,C0002171,Alopecia Areata,Alopecia Areata
26287,C0020580,Hypesthesia,Hypesthesia
26288,C0008350,Cholelithiasis,Cholelithiasis
26289,C0850149,Dry cough,Dry cough
26290,C0036346,"Schizophrenia, Childhood","Schizophrenia, Childhood"
26291,C0858635,Pharyngolaryngeal pain,Pharyngolaryngeal pain
26292,C0036341,Schizophrenia,Schizophrenia
26293,C0333641,Atrophic,Atrophic
26294,C0037290,Skin Pigmentation,Skin Pigmentation
26295,C0549297,Auricular swelling,Auricular swelling
26296,C0010200,Coughing,Coughing
26297,C0857501,Acute schizophrenia,Acute schizophrenia
26298,C0162429,Malnutrition,Malnutrition
26299,C0877203,Respiratory tract infection viral,Respiratory tract infection viral
26300,C0019112,Hemorrhoids,Hemorrhoids
26301,C0021053,Immune System Diseases,Immune System Diseases
26302,C0549453,Traumatic haematoma,Traumatic haematoma
26303,C0004134,Ataxia,Ataxia
26304,C0392156,Akathisia,Akathisia
26305,C0860864,Albumin low,Albumin low
26306,C0004245,Atrioventricular Block,Atrioventricular Block
26307,C0860866,Potassium low,Potassium low
26308,C0001364,Massive Hepatic Necrosis,Massive Hepatic Necrosis
26309,C0424740,Cold hands,Cold hands
26310,C0424741,Cold feet,Cold feet
26311,C0019209,Hepatomegaly,Hepatomegaly
26312,C0016382,Flushing,Flushing
26313,C0022408,Arthropathy,Arthropathy
26314,C0155709,Atrial fibrillation and flutter,Atrial fibrillation and flutter
26315,C0024115,Lung diseases,Lung diseases
26316,C0024117,Chronic Obstructive Airway Disease,Chronic Obstructive Airway Disease
26317,C0025193,Melancholia,Melancholia
26318,C0004623,Bacterial Infections,Bacterial Infections
26319,C0012813,Diverticulitis,Diverticulitis
26320,C0152128,Drug withdrawal syndrome,Drug withdrawal syndrome
26321,C0043096,Body Weight decreased,Body Weight decreased
26322,C0027441,Nasopharyngitis,Nasopharyngitis
26323,C0040053,Thrombosis,Thrombosis
26324,C0022568,Keratitis,Keratitis
26325,C0853193,Bipolar I disorder,Bipolar I disorder
26326,C0863093,Cold symptoms,Cold symptoms
26327,C0522035,Upper limb oedema,Upper limb oedema
26328,C0004691,Balanoposthitis,Balanoposthitis
26329,C0236018,Aura,Aura
26330,C0022578,Keratoconus,Keratoconus
26331,C0019065,Hemoperitoneum,Hemoperitoneum
26332,C0022573,Keratoconjunctivitis,Keratoconjunctivitis
26333,C0022575,Keratoconjunctivitis Sicca,Keratoconjunctivitis Sicca
26334,C0877153,Neutropenic sepsis,Neutropenic sepsis
26335,C0018794,Heart Block,Heart Block
26336,C0014544,Epilepsy,Epilepsy
26337,C1510497,Lens Opacities,Lens Opacities
26338,C0018790,Cardiac Arrest,Cardiac Arrest
26339,C0014236,Endophthalmitis,Endophthalmitis
26340,C0014549,Tonic-Clonic Epilepsy,Tonic-Clonic Epilepsy
26341,C0018799,Heart Diseases,Heart Diseases
26342,C0038999,Swelling,Swelling
26343,C0022354,"Jaundice, Obstructive","Jaundice, Obstructive"
26344,C0038990,Sweating,Sweating
26345,C1609512,Vulvovaginal mycotic infection,Vulvovaginal mycotic infection
26346,C0853336,Corneal infiltrates,Corneal infiltrates
26347,C1510472,Drug Dependence,Drug Dependence
26348,C2267227,Bulimia Nervosa,Bulimia Nervosa
26349,C1153706,Endometrial adenocarcinoma,Endometrial adenocarcinoma
26350,C0013491,Ecchymosis,Ecchymosis
26351,C0700031,Anxiety attack,Anxiety attack
26352,C0234933,Erythema multiforme severe,Erythema multiforme severe
26353,C0232461,Increased appetite (finding),Increased appetite (finding)
26354,C0232462,Decrease in appetite,Decrease in appetite
26355,C0853813,Local reaction,Local reaction
26356,C0014431,Enzyme Induction,Enzyme Induction
26357,C0277589,Found dead (cause undetermined),Found dead (cause undetermined)
26358,C0038525,Subarachnoid Hemorrhage,Subarachnoid Hemorrhage
26359,C0520679,"Sleep Apnea, Obstructive","Sleep Apnea, Obstructive"
26360,C0151564,Cogwheel Rigidity,Cogwheel Rigidity
26361,C0520676,Premenstrual dysphoric disorder,Premenstrual dysphoric disorder
26362,C0741494,Bilirubin total increased,Bilirubin total increased
26363,C0002453,Amenorrhea,Amenorrhea
26364,C0006852,Candidiasis of vagina,Candidiasis of vagina
26365,C0033845,Pseudotumor Cerebri,Pseudotumor Cerebri
26366,C0033844,Pseudotumor,Pseudotumor
26367,C0040034,Thrombocytopenia,Thrombocytopenia
26368,C0151767,Liver tenderness,Liver tenderness
26369,C0040038,Thromboembolism,Thromboembolism
26370,C0032463,Polycythemia Vera,Polycythemia Vera
26371,C0032461,Polycythemia,Polycythemia
26372,C1142239,Call-Fleming syndrome,Call-Fleming syndrome
26373,C0232208,Atrioventricular junctional rhythm,Atrioventricular junctional rhythm
26374,C0003850,Arteriosclerosis,Arteriosclerosis
26375,C3665444,Neutrophilia (disorder),Neutrophilia (disorder)
26376,C0029408,Degenerative polyarthritis,Degenerative polyarthritis
26377,C0151702,Muscle hemorrhage,Muscle hemorrhage
26378,C0151701,Pulmonary hemorrhage,Pulmonary hemorrhage
26379,C0475858,Pruritus generalised,Pruritus generalised
26380,C1142011,Orchitis noninfective,Orchitis noninfective
26381,C0042963,Vomiting,Vomiting
26382,C0018939,Hematological Disease,Hematological Disease
26383,C0018932,Hematochezia,Hematochezia
26384,C0235097,Withdrawal seizures,Withdrawal seizures
26385,C2363980,Cross resistance,Cross resistance
26386,C0235309,Upset stomach,Upset stomach
26387,C0423757,Skin thinness,Skin thinness
26388,C0347390,Skin Papilloma,Skin Papilloma
26389,C1527344,Dysphonia,Dysphonia
26390,C0035067,Renal Artery Stenosis,Renal Artery Stenosis
26391,C0220981,Metabolic acidosis,Metabolic acidosis
26392,C0220982,Ketoacidosis,Ketoacidosis
26393,C0220983,Metabolic alkalosis,Metabolic alkalosis
26394,C0024236,Lymphedema,Lymphedema
26395,C0700345,"Candidiasis, Vulvovaginal","Candidiasis, Vulvovaginal"
26396,C0151639,Fertility female decreased,Fertility female decreased
26397,C0235522,Vein disorder,Vein disorder
26398,C0016579,Formication,Formication
26399,C0151632,Red blood cell sedimentation rate increased,Red blood cell sedimentation rate increased
26400,C0034882,Rectal Diseases,Rectal Diseases
26401,C0151636,Premature ventricular contractions,Premature ventricular contractions
26402,C0034880,Hyperacusis,Hyperacusis
26403,C0027059,Myocarditis,Myocarditis
26404,C0003079,Anisocoria,Anisocoria
26405,C0151436,"Vasculitis, Leukocytoclastic, Cutaneous","Vasculitis, Leukocytoclastic, Cutaneous"
26406,C0017551,Gilbert Disease (disorder),Gilbert Disease (disorder)
26407,C0027051,Myocardial Infarction,Myocardial Infarction
26408,C0271738,Secondary adrenocortical insufficiency,Secondary adrenocortical insufficiency
26409,C0241705,Difficulty passing urine,Difficulty passing urine
26410,C1142492,Postinfarction angina,Postinfarction angina
26411,C0234144,Dysgraphia,Dysgraphia
26412,C0235416,Blood uric acid increased,Blood uric acid increased
26413,C0235639,Urine abnormality,Urine abnormality
26414,C1458155,Mammary Neoplasms,Mammary Neoplasms
26415,C0302809,Hepatitis fulminant,Hepatitis fulminant
26416,C0542101,Nasal burning,Nasal burning
26417,C0006826,Malignant Neoplasms,Malignant Neoplasms
26418,C0270996,Eye swelling,Eye swelling
26419,C0270994,Steroid myopathy,Steroid myopathy
26420,C3257803,Watery eyes,Watery eyes
26421,C0085605,Liver Failure,Liver Failure
26422,C0085606,Urgency of micturition,Urgency of micturition
26423,C0085602,Polydipsia,Polydipsia
26424,C1262013,Recall phenomenon,Recall phenomenon
26425,C0392702,Abnormal involuntary movements,Abnormal involuntary movements
26426,C0221166,Paraparesis,Paraparesis
26427,C0007193,"Cardiomyopathy, Dilated","Cardiomyopathy, Dilated"
26428,C0007194,Hypertrophic Cardiomyopathy,Hypertrophic Cardiomyopathy
26429,C0855329,Electrocardiogram change,Electrocardiogram change
26430,C1167791,Skin toxicity,Skin toxicity
26431,C0241633,Vaginal dryness,Vaginal dryness
26432,C0149871,Deep Vein Thrombosis,Deep Vein Thrombosis
26433,C0037195,Sinus headache,Sinus headache
26434,C0860745,Blood monocytes increased,Blood monocytes increased
26435,C0037199,Sinusitis,Sinusitis
26436,C0236788,Bipolar II disorder,Bipolar II disorder
26437,C0234458,Abnormal dreams,Abnormal dreams
26438,C0242656,Disease Progression,Disease Progression
26439,C0751265,Learning Disabilities,Learning Disabilities
26440,C0034150,Purpura,Purpura
26441,C0034152,Henoch-Schoenlein Purpura,Henoch-Schoenlein Purpura
26442,C0016204,Flatulence,Flatulence
26443,C0034155,"Purpura, Thrombotic Thrombocytopenic","Purpura, Thrombotic Thrombocytopenic"
26444,C1261473,Sarcoma,Sarcoma
26445,C0029132,Disorder of the optic nerve,Disorder of the optic nerve
26446,C0029134,Optic Neuritis,Optic Neuritis
26447,C0041318,"Tuberculosis, Meningeal","Tuberculosis, Meningeal"
26448,C0234215,Sensory Discomfort,Sensory Discomfort
26449,C0020598,Hypocalcemia,Hypocalcemia
26450,C0233494,Tension,Tension
26451,C0004093,Asthenia,Asthenia
26452,C0004096,Asthma,Asthma
26453,C0037287,Skin nodule,Skin nodule
26454,C0004095,Asthenopia,Asthenopia
26455,C0036572,Seizures,Seizures
26456,C0030232,Pallor,Pallor
26457,C0333650,Adipose Tissue Atrophy,Adipose Tissue Atrophy
26458,C0920163,Idiopathic thrombocytopenia,Idiopathic thrombocytopenia
26459,C0549447,Urine odour foul,Urine odour foul
26460,C0041956,Ureteral obstruction,Ureteral obstruction
26461,C0221345,Nail discoloration,Nail discoloration
26462,C0036974,Shock,Shock
26463,C0007773,Cerebral arteritis,Cerebral arteritis
26464,C0010692,Cystitis,Cystitis
26465,C0036973,Shivering,Shivering
26466,C0267158,Reflux gastritis,Reflux gastritis
26467,C1302752,Abrasion,Abrasion
26468,C0016412,Folic Acid Deficiency,Folic Acid Deficiency
26469,C0038367,Ulcerative stomatitis,Ulcerative stomatitis
26470,C0038363,Aphthous Stomatitis,Aphthous Stomatitis
26471,C0038362,Stomatitis,Stomatitis
26472,C0033775,Pruritus Ani,Pruritus Ani
26473,C0235896,Lung infiltration,Lung infiltration
26474,C0235890,Migraine aggravated,Migraine aggravated
26475,C0235893,Allergy aggravated,Allergy aggravated
26476,C0086132,Depressive Symptoms,Depressive Symptoms
26477,C0042373,Vascular Diseases,Vascular Diseases
26478,C0427144,Toe walking,Toe walking
26479,C0019270,Hernia,Hernia
26480,C0033777,Pruritus genital,Pruritus genital
26481,C0042376,Vascular Headaches,Vascular Headaches
26482,C2240374,Eosinophil count raised (finding),Eosinophil count raised (finding)
26483,C0021400,Influenza,Influenza
26484,C1318520,Vasculitis necrotising,Vasculitis necrotising
26485,C0008370,Cholestasis,Cholestasis
26486,C0239295,Oesophageal candidiasis,Oesophageal candidiasis
26487,C0677500,Stinging Sensation,Stinging Sensation
26488,C0233844,Clumsiness,Clumsiness
26489,C0036396,Sciatica,Sciatica
26490,C0018784,Sensorineural Hearing Loss (disorder),Sensorineural Hearing Loss (disorder)
26491,C0021313,Infection of kidney,Infection of kidney
26492,C0039584,Testicular Diseases,Testicular Diseases
26493,C0376297,Cardiac Death,Cardiac Death
26494,C0038986,Sweat Gland Diseases,Sweat Gland Diseases
26495,C0600142,Hot flushes,Hot flushes
26496,C0596240,Cancer pain,Cancer pain
26497,C0014848,Esophageal Achalasia,Esophageal Achalasia
26498,C0014591,Epistaxis,Epistaxis
26499,C0343387,"Enterocolitis, Neutropenic","Enterocolitis, Neutropenic"
26500,C0013447,Ear Diseases,Ear Diseases
26501,C0014118,Endocarditis,Endocarditis
26502,C0042790,Vision Disorders,Vision Disorders
26503,C0043094,Weight Gain,Weight Gain
26504,C0028077,Night Blindness,Night Blindness
26505,C0032019,Pituitary Neoplasms,Pituitary Neoplasms
26506,C0151559,Central nervous system depression (disorder),Central nervous system depression (disorder)
26507,C0003467,Anxiety,Anxiety
26508,C0024902,Mastodynia,Mastodynia
26509,C0003460,Anuria,Anuria
26510,C1260922,Respiration abnormal,Respiration abnormal
26511,C0003469,Anxiety Disorders,Anxiety Disorders
26512,C0240322,Menstruation delayed,Menstruation delayed
26513,C0151951,Thromboplastin decreased,Thromboplastin decreased
26514,C0857807,Accidental ingestion,Accidental ingestion
26515,C0231528,Myalgia,Myalgia
26516,C0003862,Arthralgia,Arthralgia
26517,C0003860,Arteritis,Arteritis
26518,C0003864,Arthritis,Arthritis
26519,C0003868,"Arthritis, Gouty","Arthritis, Gouty"
26520,C0683278,Mental Suffering,Mental Suffering
26521,C0035127,Cumulative Trauma Disorders,Cumulative Trauma Disorders
26522,C0035436,Rheumatic Fever,Rheumatic Fever
26523,C0032708,Disorders of Porphyrin Metabolism,Disorders of Porphyrin Metabolism
26524,C0035439,Rheumatic Heart Disease,Rheumatic Heart Disease
26525,C0741553,Hemorrhage abnormal,Hemorrhage abnormal
26526,C0520575,Acute pyelonephritis,Acute pyelonephritis
26527,C0235086,Muscle contractions involuntary,Muscle contractions involuntary
26528,C0018926,Hematemesis,Hematemesis
26529,C0017675,Glossitis,Glossitis
26530,C0027121,Myositis,Myositis
26531,C0239233,Early satiety,Early satiety
26532,C0947999,Blood urine present,Blood urine present
26533,C0151826,Retrosternal pain,Retrosternal pain
26534,C0151827,Eye pain,Eye pain
26535,C0151824,Biliary Colic,Biliary Colic
26536,C0151825,Bone pain,Bone pain
26537,C0151821,Accidental overdose,Accidental overdose
26538,C0151828,Injection site pain,Injection site pain
26539,C1565489,Renal Insufficiency,Renal Insufficiency
26540,C0009917,Contracture,Contracture
26541,C0085271,Self-Injurious Behavior,Self-Injurious Behavior
26542,C0151605,Injection site swelling,Injection site swelling
26543,C0017566,Gingival Hyperplasia,Gingival Hyperplasia
26544,C0151603,Anasarca,Anasarca
26545,C0151601,Conjunctival oedema,Conjunctival oedema
26546,C0028259,Nodule,Nodule
26547,C0085074,Granuloma Annulare,Granuloma Annulare
26548,C0855242,Disturbance in sexual arousal,Disturbance in sexual arousal
26549,C0270611,Brain Injuries,Brain Injuries
26550,C1963916,Diabetic peripheral neuropathic pain,Diabetic peripheral neuropathic pain
26551,C0234133,Extrapyramidal symptoms,Extrapyramidal symptoms
26552,C0006107,Brain Concussion,Brain Concussion
26553,C0151738,Large intestine perforation,Large intestine perforation
26554,C0235409,Increased insulin requirement,Increased insulin requirement
26555,C0151736,Accidental injury,Accidental injury
26556,C0151737,Intentional injury,Intentional injury
26557,C0151734,Injection site inflammation,Injection site inflammation
26558,C0151735,Injection site reaction,Injection site reaction
26559,C0234974,Simple Partial Seizures,Simple Partial Seizures
26560,C0242422,Parkinsonian Disorders,Parkinsonian Disorders
26561,C0085615,Right bundle branch block,Right bundle branch block
26562,C0085614,First degree atrioventricular block,First degree atrioventricular block
26563,C0085612,Ventricular arrhythmia,Ventricular arrhythmia
26564,C0085611,Atrial arrhythmia,Atrial arrhythmia
26565,C0085610,Sinus bradycardia,Sinus bradycardia
26566,C1262064,Oculogyration,Oculogyration
26567,C0242429,Sore Throat,Sore Throat
26568,C0085619,Orthopnea,Orthopnea
26569,C0855333,Electrocardiogram QT corrected interval prolonged,Electrocardiogram QT corrected interval prolonged
26570,C0020453,Hyperesthesia,Hyperesthesia
26571,C0020456,Hyperglycemia,Hyperglycemia
26572,C0039103,Synovitis,Synovitis
26573,C0020458,Hyperhidrosis disorder,Hyperhidrosis disorder
26574,C0027339,Nail Diseases,Nail Diseases
26575,C0043349,Xerophthalmia,Xerophthalmia
26576,C0427055,Facial Paresis,Facial Paresis
26577,C0240735,Personality change,Personality change
26578,C1761609,Aspiration pneumonitis,Aspiration pneumonitis
26579,C0694549,Community acquired pneumonia,Community acquired pneumonia
26580,C0031350,Pharyngitis,Pharyngitis
26581,C0546817,Fluid overload,Fluid overload
26582,C0007166,Low Cardiac Output,Low Cardiac Output
26583,C0037763,Spasm,Spasm
26584,C0012739,Disseminated Intravascular Coagulation,Disseminated Intravascular Coagulation
26585,C0085298,Sudden Cardiac Death,Sudden Cardiac Death
26586,C0270769,Radiation myelopathy,Radiation myelopathy
26587,C0024228,Lymphatic Diseases,Lymphatic Diseases
26588,C0024225,Lymphangitis,Lymphangitis
26589,C0014335,Enteritis,Enteritis
26590,C0027932,Neurotic Disorders,Neurotic Disorders
26591,C0233488,Feeling despair,Feeling despair
26592,C0730362,Maculopathy,Maculopathy
26593,C1611174,Post-traumatic pain,Post-traumatic pain
26594,C0235957,Muscle necrosis,Muscle necrosis
26595,C0162316,Iron deficiency anemia,Iron deficiency anemia
26596,C0151565,Hemorrhagic colitis,Hemorrhagic colitis
26597,C0149512,Acute sinusitis,Acute sinusitis
26598,C0149514,Acute bronchitis,Acute bronchitis
26599,C0750876,Phlebitis superficial,Phlebitis superficial
26600,C0029925,Ovarian Carcinoma,Ovarian Carcinoma
26601,C0549433,Surgical intervention (finding),Surgical intervention (finding)
26602,C0541854,Daytime sleepiness,Daytime sleepiness
26603,C0221333,Hypouricaemia,Hypouricaemia
26604,C0001824,Agranulocytosis,Agranulocytosis
26605,C0020672,"Hypothermia, natural","Hypothermia, natural"
26606,C0279563,Lobular carcinoma in situ of breast,Lobular carcinoma in situ of breast
26607,C0007760,Cerebellar Diseases,Cerebellar Diseases
26608,C0020676,Hypothyroidism,Hypothyroidism
26609,C0021099,Impetigo,Impetigo
26610,C0029928,Ovarian Diseases,Ovarian Diseases
26611,C0858093,Plasma calcium decreased,Plasma calcium decreased
26612,C0744727,Hematocrit decreased,Hematocrit decreased
26613,C0474395,Behavior showing increased motor activity,Behavior showing increased motor activity
26614,C0021092,Impacted cerumen,Impacted cerumen
26615,C0860803,Glucose increased,Glucose increased
26616,C0241558,Hemorrhage of urethra,Hemorrhage of urethra
26617,C0860801,Glucose low,Glucose low
26618,C0037383,Sneezing,Sneezing
26619,C0037384,Snoring,Snoring
26620,C0311394,Difficulty walking,Difficulty walking
26621,C0038358,Gastric ulcer,Gastric ulcer
26622,C0235886,Leg edema,Leg edema
26623,C0857496,Thromboembolic event,Thromboembolic event
26624,C0857494,Unresponsive to stimuli,Unresponsive to stimuli
26625,C0039971,Thirst,Thirst
26626,C0686347,Tardive Dyskinesia,Tardive Dyskinesia
26627,C1704212,Embolus,Embolus
26628,C0424295,Hyperactive behavior,Hyperactive behavior
26629,C0857305,Thrombocytopenic purpura,Thrombocytopenic purpura
26630,C0259799,Punctate keratitis,Punctate keratitis
26631,C0221242,Fixed drug eruption,Fixed drug eruption
26632,C0410256,Muscle injury,Muscle injury
26633,C0001127,"Acidosis, Respiratory","Acidosis, Respiratory"
26634,C0001126,Renal tubular acidosis,Renal tubular acidosis
26635,C0001122,Acidosis,Acidosis
26636,C0338113,Uterine Corpus Sarcoma,Uterine Corpus Sarcoma
26637,C0156394,Enlarged clitoris,Enlarged clitoris
26638,C1704373,Compulsive Personality Disorder,Compulsive Personality Disorder
26639,C0019080,Hemorrhage,Hemorrhage
26640,C0038220,Status Epilepticus,Status Epilepticus
26641,C0242891,Tooth Injuries,Tooth Injuries
26642,C0043145,Whiplash Injuries,Whiplash Injuries
26643,C0043144,Wheezing,Wheezing
26644,C0021308,Infarction,Infarction
26645,C0877406,Performance status decreased,Performance status decreased
26646,C0973461,Dysphasia,Dysphasia
26647,C0178298,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
26648,C0039591,Pain in testicle,Pain in testicle
26649,C2979982,Vaginal Hemorrhage,Vaginal Hemorrhage
26650,C0520933,Spermatogenesis abnormal,Spermatogenesis abnormal
26651,C0156404,Menstruation irregular,Menstruation irregular
26652,C0852792,Blood cortisol decreased,Blood cortisol decreased
26653,C0234913,Rash erythematous,Rash erythematous
26654,C0239377,Arm Pain,Arm Pain
26655,C0014858,Esophageal motility disorders,Esophageal motility disorders
26656,C0234916,Rash follicular,Rash follicular
26657,C0000833,Abscess,Abscess
26658,C0232197,Cardiac fibrillation,Cardiac fibrillation
26659,C2981158,Lack of libido,Lack of libido
26660,C0853225,International normalised ratio increased,International normalised ratio increased
26661,C0746883,Febrile Neutropenia,Febrile Neutropenia
26662,C0025222,Melena,Melena
26663,C0023218,Cramps of lower extremities,Cramps of lower extremities
26664,C0746731,Acute myocardial ischemia,Acute myocardial ischemia
26665,C0018681,Headache,Headache
26666,C0017152,Gastritis,Gastritis
26667,C0013456,Earache,Earache
26668,C0856054,Mental status changes,Mental status changes
26669,C0033860,Psoriasis,Psoriasis
26670,C0175167,Acneiform Eruptions,Acneiform Eruptions
26671,C0151810,Lack of drug effect,Lack of drug effect
26672,C0426597,Fluid intake reduced,Fluid intake reduced
26673,C0426596,Fluid intake increased,Fluid intake increased
26674,C0231530,Muscle twitch,Muscle twitch
26675,C0151942,Arterial thrombosis,Arterial thrombosis
26676,C0558401,Skin laceration,Skin laceration
26677,C0002878,"Anemia, Hemolytic","Anemia, Hemolytic"
26678,C2609096,Genital hypoaesthesia,Genital hypoaesthesia
26679,C0003873,Rheumatoid Arthritis,Rheumatoid Arthritis
26680,C0003872,"Arthritis, Psoriatic","Arthritis, Psoriatic"
26681,C0700184,Throat irritation,Throat irritation
26682,C0002871,Anemia,Anemia
26683,C0002874,Aplastic Anemia,Aplastic Anemia
26684,C0856695,Acute exacerbation of chronic bronchitis,Acute exacerbation of chronic bronchitis
26685,C0426732,Prostatomegaly,Prostatomegaly
26686,C1384606,Dyspareunia,Dyspareunia
26687,C3495559,Juvenile arthritis,Juvenile arthritis
26688,C0151838,Circumoral paresthesia,Circumoral paresthesia
26689,C0009768,Bacterial conjunctivitis,Bacterial conjunctivitis
